title,price_monthly,bedrooms,sqft,unit_type_clean,location_clean,market_area,description,extreme_low_price_flag,scraped_at,url
"21 - 2435 GREENWICH DRIVE Oakville (WM Westmount), Ontario",2880,3.0,,Townhouse,"Westmount, Oakville (WM Westmount)•",Halton,"This stunning Menkes-built end-unit townhome offers stylish, low-maintenance living in the heart of Oakville's prestigious Westmount community. Newly painted and brand new floor. Featuring a bright ...",0,2026-02-11 22:13:59.934374,https://www.kijiji.ca/v-apartments-condos/oakville-halton-region/21-2435-greenwich-drive-oakville-wm-westmount-ontario/1732920746
"286 SPRINGFIELD CRESCENT Clearview (Stayner), Ontario",2500,3.0,,House,Oakville / Halton Region•,Halton,Welcome Home to 286 Springfield! This new detached home offers 3 bedrooms and 3 bathrooms. Hardwood floors throughout main floor with hardwood stairs. Open Concept Living Room and Kitchen. Enjoy the ...,0,2026-02-11 22:14:00.898351,https://www.kijiji.ca/v-apartments-condos/oakville-halton-region/286-springfield-crescent-clearview-stayner-ontario/1730225357
"1544 WELLWOOD Terrace Milton, Ontario",3000,3.0,,Townhouse,Oakville / Halton Region•,Halton,"Step inside this 3 bedroom townhome located in the desirable Cobban neighborhood. Ground level offers study nook and laundry. Main floor features great room, kitchen and breakfast with walk-out to ...",0,2026-02-11 22:13:58.128134,https://www.kijiji.ca/v-apartments-condos/oakville-halton-region/1544-wellwood-terrace-milton-ontario/1731572196
"3500 LAKESHORE Road W Unit# 503 Oakville, Ontario",5500,2.0,,,Oakville / Halton Region•,Halton,"Lakefront rental in prestigious Bluwater Condos with panoramic views of Lake Ontario. 2 bedroom 2.5 bathroom, 1535 sq ft corner unit with 2 side by side parking & one Locker. Resort like amenities ...",0,2026-02-11 22:13:48.735237,https://www.kijiji.ca/v-apartments-condos/oakville-halton-region/3500-lakeshore-road-w-unit-503-oakville-ontario/1730370137
1 Bedroom Apartment for Rent - 1249 North Shore Boulevard East,1989,1.0,702,Apartment,Burlington•,Halton,Welcome to 1249 North Shore Boulevard East in Burlington. We are located across the street from Spencer Smith Park and the New Lakefront Trail for your walking and biking pleasure. Walking distance ...,0,2026-02-11 22:13:54.936017,https://www.kijiji.ca/v-apartments-condos/oakville-halton-region/1-bedroom-apartment-for-rent-1249-north-shore-boulevard-east/1732434805
Princess Apartments-2 BEDROOM FOR RENT-$100/MTH SENIOR DISCOUNT,2055,2.0,865,Apartment,"Roseland, Burlington•",Halton,Senior Discount $100.00/month for 65+years -- On-site building manager and CCTV surveillance. Spacious unit - Quiet Building - Covered Parking Available Across from Burlington Mall and all amenities ...,0,2026-02-11 22:13:56.302969,https://www.kijiji.ca/v-apartments-condos/oakville-halton-region/princess-apartments-2-bedroom-for-rent-100-mth-senior-discount/1663161783
"UPPER - 69 ROXBOROUGH AVENUE Hamilton (Crown Point), Ontario",2400,3.0,,,Hamilton (Crown Point)•,Halton,"This well maintained, clean and spacious upper unit home is available for you to rent. Main floor features living room with big windows to let in natural light, separate dining room, kitchen, main ...",0,2026-02-11 22:13:59.860341,https://www.kijiji.ca/v-apartments-condos/mississauga-peel-region/upper-69-roxborough-avenue-hamilton-crown-point-ontario/1732920664
2 room basement on rent,1800,2.0,1000,Basement,"Orangeville, Oakville / Halton Region•",Halton,2 bedroom basement with separate entrance and 1 parking available. Available from 1st April 2026. Thanks,0,2026-02-11 22:13:50.71485,https://www.kijiji.ca/v-apartments-condos/oakville-halton-region/2-room-basement-on-rent/1733026019
"325 - 2501 SAW WHET BOULEVARD Oakville (GA Glen Abbey), Ontario",2100,2.0,,Condo,"Glen Abbey, Oakville (GA Glen Abbey)•",Halton,"Check out this awesome 1-bedroom + den condo for lease in the sought-after Glen Abbey area! This cozy unit is the perfect mix of comfort and convenience, making it a great choice for anyone looking ...",0,2026-02-11 22:13:51.753903,https://www.kijiji.ca/v-apartments-condos/oakville-halton-region/325-2501-saw-whet-boulevard-oakville-ga-glen-abbey-ontario/1733010972
"BSMT - 103 GOODWIN CRESCENT Milton (FO Ford), Ontario",1799,2.0,,Basement,"Ford, Milton (FO Ford)•",Halton,**Legal Basement Apartment**. Walk-Up Private Access From The Rear Of The Home To An Open Concept Unit With Gorgeous White Kitchen With Stainless Steel Appliances Including Built-In Dishwasher! ...,0,2026-02-11 22:13:52.048473,https://www.kijiji.ca/v-apartments-condos/oakville-halton-region/bsmt-103-goodwin-crescent-milton-fo-ford-ontario/1733010138
